track_id,track_name,artist_name,artist_genres,album_name,track_popularity,explicit,track_duration_min,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,"indie, garage rock",AM,86,False,4.53,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,"indie, garage rock",AM,91,False,3.06,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",Love In The Future (Expanded Edition),85,False,4.49,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93
5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,Armin van Buuren,"trance, progressive trance, progressive house, electronica",Intense,72,False,3.4,0.551,0.833,-5.217,0.03,0.0391,2.77e-06,0.0632,0.145,129.885
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,"french house, electronic, electro",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],80,False,4.14,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,"french house, electronic, electro",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],80,False,4.14,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047
1j8z4TTjJ1YOdoFEDwJTQa,Ain't It Fun,Paramore,"pop punk, emo",Paramore,76,False,4.94,0.61,0.893,-3.681,0.0921,0.154,4.41e-05,0.021,0.673,104.031
1yjY7rpaAQvKwpdUliHx0d,Still into You,Paramore,"pop punk, emo",Paramore,82,False,3.6,0.602,0.923,-3.763,0.044,0.0098,0.0,0.0561,0.765,136.01
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,"alternative pop, indie pop",Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) [Cedric Gervais Remix],74,False,3.58,0.572,0.81,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,"alternative pop, indie pop",Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) [Cedric Gervais Remix],74,False,3.58,0.572,0.81,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,"alternative pop, indie pop",Young And Beautiful,87,False,3.93,0.324,0.416,-8.92,0.0368,0.262,3.69e-05,0.11,0.151,113.986
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,Alicia Keys,"r&b, neo soul",Girl on Fire (Remixes) - EP,76,False,3.74,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,soft pop,Skyfall,85,False,4.77,0.346,0.552,-6.864,0.0282,0.417,0.0,0.114,0.0789,75.881
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,Swedish House Mafia,edm,Don't You Worry Child,81,False,3.54,0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042
1IT0WQk5J8NsaeII8ktdlZ,King For A Day,Pierce The Veil,"emo, screamo, post-hardcore",Collide With The Sky,78,True,3.93,0.403,0.965,-2.238,0.0964,3.81e-05,0.000276,0.341,0.431,112.363
1r1fPuhj9H4VdXr7OK6FL5,CASTLE OF GLASS,Linkin Park,"nu metal, rap metal, rock, alternative metal",LIVING THINGS,76,False,3.42,0.615,0.911,-3.584,0.0278,0.0686,0.00188,0.0908,0.685,108.0
5JLv62qFIS1DR3zGEcApRt,Wide Awake,Katy Perry,pop,Teenage Dream: The Complete Confection,75,False,3.68,0.515,0.683,-5.099,0.0371,0.0749,2.64e-06,0.392,0.572,159.878
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,edm,Clarity,78,False,4.52,0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0
